country,year,iso_code,code_year,population,gdp,co2,coal_co2,flaring_co2,gas_co2,methane,oil_co2,electricity_generation_twh,
Canada,2013,CAN,CAN_2013,35063696,1.51E+12,569.54,79.213,16.676,204.679,90.99,260.535,637.73,
Canada,2014,CAN,CAN_2014,35404616,1.55E+12,566.353,76.836,16.902,211.232,93.38,252.967,636.09,
Canada,2015,CAN,CAN_2015,35732120,1.57E+12,570.68,78.423,16.097,213.777,94.24,253.879,638.95,
Canada,2016,CAN,CAN_2016,36113532,1.59E+12,557.69,73.693,14.093,209.554,96.17,251.961,644.88,
Canada,2017,CAN,CAN_2017,36554344,1.64E+12,566.652,72.858,14.813,214.307,100.7,255.604,644.7,
Canada,2018,CAN,CAN_2018,37035260,1.67E+12,577.066,60.974,15.484,230.017,104.92,261.441,635.89,
Canada,2019,CAN,CAN_2019,37522584,1.74E+12,578.588,58.626,15.905,231.565,103.86,263.154,627.92,
Canada,2020,CAN,CAN_2020,37888704,1.65E+12,522.845,48.517,16.426,221.474,100.25,227.67,624.08,
Canada,2021,CAN,CAN_2021,38155012,2.00E+12,537.174,45.894,17.164,228.711,102.6002608,235.891,625.95,
Canada,2022,CAN,CAN_2022,38454328,2.14E+12,547.944,35.797,17.164,240.394,103.3831173,245.074,638.42,
China,2013,CHN,CHN_2013,1376100352,1.53E+13,9956.376,7493.454,3.632,320.127,1136.23,1234.622,5408.64,
China,2014,CHN,CHN_2014,1385189632,1.62E+13,9998.674,7425.067,3.93,370.222,1149.47,1255.605,5768.31,
China,2015,CHN,CHN_2015,1393715456,1.67E+13,9866.951,7266.979,3.901,380.052,1147.67,1328.805,5787.8,
China,2016,CHN,CHN_2016,1401889664,1.73E+13,9765.029,7071.404,3.09,421.726,1107.28,1357.838,6090.97,
China,2017,CHN,CHN_2017,1410275968,1.76E+13,10011.151,7163.318,2.969,486.359,1116.91,1430.587,6558.26,
China,2018,CHN,CHN_2018,1417069440,1.82E+13,10353.935,7316.4,3.408,575.369,1147.49,1500.474,7120.6,
China,2019,CHN,CHN_2019,1421864064,1.43E+13,10721.042,7523.17,3.839,630.171,1163.53,1559.728,7461.49,
China,2020,CHN,CHN_2020,1424929792,1.47E+13,10914.012,7679.546,5.17,676.473,1186.57,1523.052,7735.27,
China,2021,CHN,CHN_2021,1425893504,1.78E+13,11336.233,7979.436,4.812,764.102,1495.453849,1564.37,8484.02,
China,2022,CHN,CHN_2022,1425887360,1.80E+13,11396.777,8250.736,4.678,755.172,1500.665171,1451.287,8839.13,
France,2013,FRA,FRA_2013,63335180,2.42E+12,358.487,49.449,3.056,90.991,64.63,203.403,582.28,
France,2014,FRA,FRA_2014,63588496,2.42E+12,327.009,39.449,2.963,76.263,63.5,197.148,582.28,
France,2015,FRA,FRA_2015,63809768,2.45E+12,331.414,37.941,2.862,81.213,62.91,198.792,582.28,
France,2016,FRA,FRA_2016,63989320,2.48E+12,334.005,35.853,2.873,88.856,61.99,196.002,582.28,
France,2017,FRA,FRA_2017,64144092,2.54E+12,336.896,39.819,2.821,89.01,61.12,195.042,582.28,
France,2018,FRA,FRA_2018,64277812,2.58E+12,322.079,35.013,2.909,84.615,60.35,188.833,582.28,
France,2019,FRA,FRA_2019,64399760,2.73E+12,315.45,29.343,2.508,86.144,59.48,186.758,582.28,
