Country,Model,MSE,Error Percentage,Feature Selection,Features,Type,AIC,Order,Seasonal Order,Transformation,Forecast Year (2022) Actual,Forecast Year (2022) Predicted
Canada,ARIMA,163.53287027793044,2.333814608341184,No Features,No Features,Countrywise,81.29332446663517,"(0, 0, 0)",,No Transformation,547.944,560.731997117529
Italy,ARIMA,24.95007573896388,1.4773881693634612,No Features,No Features,Countrywise,74.32732712565894,"(0, 0, 0)",,Differencing,338.097,333.1019949210272
Japan,ARIMA,542.9776134830579,2.211228341846665,No Features,No Features,Countrywise,78.30266296761192,"(0, 0, 0)",,Differencing,1053.798,1030.4961199581867
Russia,ARIMA,4728.005685118777,4.161811663683998,No Features,No Features,Countrywise,86.4464768047974,"(0, 0, 0)",,Differencing,1652.177,1720.9374950907043
United States,SARIMA,629.5582809999719,0.4961339085014355,No Features,No Features,Countrywise,86.4464768047974,"(0, 1, 1)","(0, 3, 0, 12)",,5057.304,5032.213000000001
China,SARIMA,1200.7918782838692,0.3040547695623487,No Features,No Features,Countrywise,86.4464768047974,"(0, 1, 1)","(0, 0, 1, 12)",,11396.777,11362.124555955115
Germany,SARIMA,17.995983767923622,0.6373400655381011,No Features,No Features,Countrywise,86.4464768047974,"(1, 0, 1)","(0, 0, 0, 12)",,665.605,669.8471673432249
India,SARIMA,4275.948686032164,2.310917505314382,No Features,No Features,Countrywise,86.4464768047974,"(1, 0, 0)","(0, 0, 1, 12)",,2829.644,2764.2532614659217
France,SARIMA,3.933170813951975,0.666553177432915,No Features,No Features,Countrywise,86.4464768047974,"(1, 0, 1)","(0, 0, 0, 12)",,297.534,295.55077766905674
United Kingdom,SARIMA,5.343321188959278,0.7254145560610288,No Features,No Features,Countrywise,86.4464768047974,"(1, 0, 1)","(0, 0, 0, 12)",,318.654,320.9655624994707
Canada,ARIMA with exog,0.21069485322571033,0.08377043829510929,no_selection,all,Countrywise,-23.94999762823055,"(1, 0, 0)",,,547.944,547.4849849095882
